probleme,execution,sequentielle,para2,para4,para8,para16
pb3,3,0.311453,0.158611,0.080121,0.077607,0.077621
pb3,4,0.352900,0.183698,0.093386,0.079623,0.088158
pb3,5,0.317696,0.158255,0.080138,0.083117,0.082709
pb3,6,0.313738,0.158345,0.084258,0.081814,0.080642
pb3,7,0.313894,0.159039,0.081716,0.084264,0.077371
pb3,8,0.311714,0.158559,0.108399,0.079599,0.076811
pb3,9,0.311813,0.158410,0.080423,0.078099,0.076609
pb3,10,0.317096,0.158063,0.081368,0.085071,0.082555
pb3,11,0.315995,0.158346,0.080304,0.083008,0.081102
pb3,12,0.312127,0.158270,0.081926,0.083205,0.079859
pb3,13,0.311344,0.158579,0.080489,0.077813,0.081619
pb3,14,0.314018,0.158242,0.080446,0.077676,0.077783
pb3,15,0.346295,0.183028,0.093595,0.079721,0.088053
pb3,16,0.344852,0.179035,0.093594,0.078881,0.081457
pb3,17,0.317468,0.164156,0.083926,0.085728,0.082678
pb3,18,0.351341,0.184208,0.094065,0.078500,0.077001
pb3,19,0.311195,0.158316,0.080180,0.078544,0.078798
pb3,20,0.324103,0.159552,0.082476,0.085780,0.079823
pb3,21,0.340082,0.183073,0.093205,0.080850,0.078628
pb3,22,0.337071,0.184658,0.094020,0.081113,0.106703
pb3,23,0.342380,0.196010,0.093871,0.081177,0.076886
pb3,24,0.337595,0.158802,0.080500,0.083846,0.079352
pb3,25,0.348919,0.183880,0.094105,0.078988,0.076831
pb3,26,0.325322,0.160892,0.091099,0.087725,0.090160
pb3,27,0.330221,0.165248,0.085249,0.086871,0.081367
pb3,28,0.318856,0.158799,0.084624,0.084776,0.084427
pb3,29,0.319677,0.164743,0.084973,0.085906,0.086813
pb3,30,0.348031,0.182737,0.093661,0.080461,0.090098
pb3,31,0.341495,0.183209,0.094018,0.078567,0.090139
pb3,32,0.346296,0.183702,0.093256,0.080216,0.078877
pb3,33,0.311910,0.158186,0.080088,0.083964,0.082797
