execution,seq,para4,para8,para12
1,0.000000,229.883965,205.735041,144.669699
2,0.000000,232.833641,209.295350,163.740618
3,0.000000,232.810336,195.721458,155.782591
4,0.000000,237.276102,205.110219,154.491475
5,0.000000,235.171691,185.478930,157.038167
